Id,Predicted
5895,0.016317885
5172,0.04572703
6207,0.01563134
7122,0.9860904
7067,0.011736368
6173,0.18125437
6705,0.07127799
5889,0.026854966
5036,0.37641174
6142,0.040878907
6938,0.028561404
5932,0.6031808
5398,0.026280005
6855,0.013494943
6632,0.011736368
5358,0.085463926
5674,0.024112727
5384,0.056791395
5589,0.13756588
5042,0.025766628
6095,0.021656843
7049,0.01875212
6075,0.9814672
6878,0.15600385
5790,0.63225913
5532,0.03532546
6118,0.051914226
6442,0.04409663
6554,0.075885415
5973,0.01756258
5043,0.0661943
7195,0.24686718
6746,0.8551028
6793,0.08443663
5940,0.3329485
5584,0.03162982
5669,0.22297788
7286,0.049950548
5992,0.017581074
6278,0.011736368
6196,0.07993275
6052,0.04725714
5354,0.5129098
6076,0.014760089
5134,0.028396808
6147,0.6316381
6237,0.9560599
5245,0.034389347
5582,0.006667753
6508,0.14301723
4968,0.14301723
6571,0.018749282
5419,0.71642894
6377,0.08244231
6562,0.079030946
6913,0.06449464
6014,0.0090986
5556,0.21746121
6346,0.54536366
6310,0.10499318
6763,0.19853252
7051,0.03185186
5117,0.03229874
6338,0.03401161
5719,0.06563983
7181,0.017300371
7264,0.29839906
5343,0.09919927
7277,0.013800308
6468,0.040311575
7037,0.009633338
5782,0.035582047
5930,0.033579625
6791,0.29267982
5332,0.013932934
5491,0.27514628
7129,0.22132511
6948,0.08241017
6962,0.118302114
6766,0.01563134
7172,0.017930632
5501,0.014327412
6234,0.021656843
6450,0.017581074
5823,0.01735912
5334,0.1437714
6821,0.0387762
5760,0.033569947
6168,0.008033408
5644,0.12629773
6255,0.7538299
6660,0.030125843
5991,0.97714317
5656,0.25023127
6322,0.5902389
6877,0.029580094
4986,0.03560185
5638,0.12223787
5206,0.32823494
5369,0.009351489
5643,0.080931105
5862,0.011736368
6934,0.063952975
7119,0.023664096
5124,0.009110869
4989,0.9111729
6028,0.04211993
5486,0.053014703
5338,0.9749757
6239,0.93064034
5287,0.016207995
6320,0.053660106
5815,0.030679544
5154,0.10533839
6490,0.21252128
5942,0.015830066
7085,0.4298935
6959,0.98905015
5086,0.03207314
6758,0.13091613
5377,0.08936684
6612,0.057850324
5447,0.9860904
6727,0.32640335
7147,0.09395869
5158,0.05442485
5147,0.46208215
5015,0.064639546
5346,0.5251093
6415,0.0723635
4990,0.06592442
6641,0.27859777
7187,0.0423801
5799,0.13292173
7110,0.025107915
5313,0.01223629
7087,0.03614725
5616,0.017548613
6357,0.070551276
5865,0.06569466
5027,0.0207286
5420,0.38898298
6235,0.034528278
5977,0.42432696
6851,0.98262274
5531,0.019330619
6824,0.9924233
6386,0.0908106
5207,0.2032033
