Id,Predicted
5895,0.014089404
5172,0.036190987
6207,0.020536639
7122,0.9908703
7067,0.026420128
6173,0.022952938
6705,0.15843183
5889,0.027192704
5036,0.49866173
6142,0.009355174
6938,0.030129118
5932,0.116690665
5398,0.011207183
6855,0.006830612
6632,0.03408017
5358,0.7391102
5674,0.04999179
5384,0.022502145
5589,0.535556
5042,0.07905485
6095,0.015971677
7049,0.015662877
6075,0.9762908
6878,0.21238497
5790,0.2620497
5532,0.061701715
6118,0.051815532
6442,0.25059307
6554,0.014573125
5973,0.018864674
5043,0.027387891
7195,0.8787161
6746,0.8779617
6793,0.26922777
5940,0.19666432
5584,0.023195384
5669,0.1478513
7286,0.10992912
5992,0.031116078
6278,0.015662877
6196,0.03464299
6052,0.095587835
5354,0.026326718
6076,0.035549343
5134,0.033509735
6147,0.31884527
6237,0.9803728
5245,0.0070050787
5582,0.0071851155
6508,0.08546889
4968,0.05134164
6571,0.028815238
5419,0.86188537
6377,0.016174879
6562,0.07651174
6913,0.10721138
6014,0.017345786
5556,0.9311144
6346,0.22197281
6310,0.1837156
6763,0.4615896
7051,0.054404788
5117,0.068830565
6338,0.08355105
5719,0.29401982
7181,0.08074589
7264,0.19713636
5343,0.041720096
7277,0.04091815
6468,0.06581126
7037,0.060466323
5782,0.39194897
5930,0.1410179
6791,0.087985836
5332,0.014223871
5491,0.3572802
7129,0.050913107
6948,0.4053613
6962,0.17790861
6766,0.040079296
7172,0.053913757
5501,0.057416376
6234,0.0128117725
6450,0.04015897
5823,0.015072855
5334,0.16329384
6821,0.058839414
5760,0.045218714
6168,0.11948421
5644,0.102806315
6255,0.8897744
6660,0.09743851
5991,0.98816943
5656,0.81422234
6322,0.079365805
6877,0.12154053
4986,0.019807698
5638,0.1649833
5206,0.08210291
5369,0.0129478555
5643,0.2711659
5862,0.03224841
6934,0.21234423
7119,0.013477928
5124,0.016500684
4989,0.84660274
6028,0.053808928
5486,0.24922481
5338,0.9829344
6239,0.36487162
5287,0.07157011
6320,0.06566546
5815,0.07446021
5154,0.20208947
6490,0.44529283
5942,0.07503367
7085,0.9475544
6959,0.9808249
5086,0.47575802
6758,0.08418679
5377,0.1454949
6612,0.19369099
5447,0.9902075
6727,0.23708358
7147,0.4422799
5158,0.077906825
5147,0.4062627
5015,0.20600736
5346,0.80126834
6415,0.014258244
4990,0.012718127
6641,0.04275509
7187,0.0096488595
5799,0.06765644
7110,0.17912798
5313,0.02441611
7087,0.030056499
5616,0.051659554
6357,0.029659372
5865,0.11126173
5027,0.02116914
5420,0.29711145
6235,0.0252946
5977,0.04931216
6851,0.9871869
5531,0.013858988
